Date,Close,pct_change
2000-07-07,250.0,
2000-07-10,250.0,0.0
2000-07-11,250.0,0.0
2000-07-12,249.61,-0.16
2000-07-13,249.8,0.08
2000-07-14,250.95,0.46
2000-07-17,252.08,0.45
2000-07-18,250.86,-0.48
2000-07-19,249.54,-0.53
2000-07-20,251.96,0.97
2000-07-21,250.14,-0.72
2000-07-24,248.25,-0.76
2000-07-25,249.05,0.32
2000-07-26,247.32,-0.69
2000-07-27,244.87,-0.99
2000-07-28,241.38,-1.43
2000-07-31,243.27,0.78
2000-08-01,243.88,0.25
2000-08-02,243.14,-0.3
2000-08-03,242.96,-0.07
2000-08-04,244.48,0.63
2000-08-07,247.04,1.05
2000-08-08,246.16,-0.36
2000-08-09,246.05,-0.04
2000-08-10,244.49,-0.63
2000-08-11,244.43,-0.02
2000-08-14,244.21,-0.09
2000-08-16,242.29,-0.79
2000-08-17,240.04,-0.93
2000-08-18,241.62,0.66
2000-08-21,243.33,0.71
2000-08-22,244.36,0.42
2000-08-23,245.56,0.49
2000-08-24,244.6,-0.39
2000-08-25,245.43,0.34
2000-08-28,246.95,0.62
2000-08-29,247.39,0.18
2000-08-30,246.89,-0.2
2000-08-31,250.4,1.42
2000-09-01,251.29,0.36
2000-09-04,252.46,0.47
2000-09-05,253.31,0.34
2000-09-06,253.47,0.06
2000-09-07,255.0,0.6
2000-09-08,253.68,-0.52
2000-09-11,255.73,0.81
2000-09-12,254.06,-0.65
2000-09-13,254.97,0.36
2000-09-14,255.06,0.04
2000-09-15,254.03,-0.4
2000-09-18,252.25,-0.7
2000-09-19,252.89,0.25
2000-09-20,252.41,-0.19
2000-09-21,250.77,-0.65
2000-09-22,244.9,-2.34
2000-09-25,246.53,0.67
2000-09-26,243.0,-1.43
2000-09-27,242.61,-0.16
2000-09-28,249.93,3.02
2000-09-29,250.01,0.03
2000-10-02,253.07,1.22
2000-10-03,252.68,-0.15
2000-10-04,255.7,1.2
2000-10-05,256.95,0.49
2000-10-06,253.01,-1.53
2000-10-09,250.53,-0.98
2000-10-10,248.38,-0.86
2000-10-11,242.98,-2.17
2000-10-12,240.84,-0.88
2000-10-13,245.35,1.87
2000-10-16,250.95,2.28
2000-10-17,246.95,-1.59
2000-10-18,248.18,0.5
2000-10-19,253.72,2.23
2000-10-20,255.87,0.85
2000-10-23,257.39,0.59
2000-10-24,260.25,1.11
2000-10-25,259.79,-0.18
2000-10-26,259.97,0.07
2000-10-27,260.68,0.27
2000-10-30,261.27,0.23
2000-10-31,263.09,0.7
2000-11-02,261.01,-0.79
2000-11-03,261.07,0.02
2000-11-06,261.32,0.1
2000-11-07,262.51,0.46
2000-11-08,259.8,-1.03
2000-11-09,258.78,-0.39
2000-11-10,252.91,-2.27
2000-11-13,249.06,-1.52
2000-11-14,256.23,2.88
2000-11-15,255.72,-0.2
2000-11-16,251.89,-1.5
2000-11-17,249.37,-1.0
2000-11-20,246.58,-1.12
2000-11-21,246.93,0.14
2000-11-22,240.43,-2.63
2000-11-23,240.75,0.13
2000-11-24,243.62,1.19
2000-11-27,244.92,0.53
2000-11-28,240.76,-1.7
2000-11-29,239.52,-0.52
2000-11-30,231.86,-3.2
2000-12-01,232.43,0.25
2000-12-04,229.65,-1.2
2000-12-05,238.0,3.64
2000-12-06,237.49,-0.21
2000-12-07,235.77,-0.72
2000-12-08,239.23,1.47
2000-12-11,242.94,1.55
2000-12-12,243.69,0.31
2000-12-13,242.31,-0.57
2000-12-14,238.83,-1.44
2000-12-15,231.45,-3.09
2000-12-18,232.88,0.62
2000-12-19,231.12,-0.76
2000-12-20,220.03,-4.8
2000-12-21,218.84,-0.54
2000-12-22,221.19,1.07
2000-12-25,221.19,0.0
2000-12-26,221.19,0.0
2000-12-27,224.08,1.31
2000-12-28,226.19,0.94
2000-12-29,223.58,-1.15
2001-01-01,223.58,0.0
2001-01-02,217.81,-2.58
2001-01-03,220.85,1.4
2001-01-04,221.6,0.34
2001-01-05,217.74,-1.74
2001-01-08,218.91,0.54
2001-01-09,219.61,0.32
2001-01-10,221.04,0.65
2001-01-11,222.81,0.8
2001-01-12,223.28,0.21
2001-01-15,225.3,0.9
2001-01-16,225.92,0.28
2001-01-17,229.04,1.38
2001-01-18,229.69,0.28
2001-01-19,227.9,-0.78
2001-01-22,230.61,1.19
2001-01-23,228.74,-0.81
2001-01-24,230.39,0.72
2001-01-25,231.6,0.53
2001-01-26,230.63,-0.42
2001-01-29,232.16,0.66
2001-01-30,232.74,0.25
2001-01-31,230.57,-0.93
2001-02-01,227.6,-1.29
2001-02-02,226.5,-0.48
2001-02-05,225.84,-0.29
2001-02-06,227.86,0.89
2001-02-07,224.71,-1.38
2001-02-08,226.28,0.7
2001-02-09,223.09,-1.41
2001-02-12,224.07,0.44
2001-02-13,224.71,0.29
2001-02-14,224.31,-0.18
2001-02-15,226.72,1.07
2001-02-16,223.51,-1.42
2001-02-19,223.14,-0.17
2001-02-20,223.44,0.13
2001-02-21,219.92,-1.58
2001-02-22,220.7,0.35
2001-02-23,216.89,-1.73
2001-02-26,218.25,0.63
2001-02-27,216.96,-0.59
2001-02-28,214.97,-0.92
2001-03-01,211.63,-1.55
2001-03-02,210.29,-0.63
2001-03-05,211.82,0.73
2001-03-06,214.8,1.41
2001-03-07,214.36,-0.2
2001-03-08,215.04,0.32
2001-03-09,211.69,-1.56
2001-03-12,206.03,-2.67
2001-03-13,206.12,0.04
2001-03-14,202.77,-1.63
2001-03-15,205.62,1.41
2001-03-16,201.98,-1.77
2001-03-19,202.32,0.17
2001-03-20,202.37,0.02
2001-03-21,199.04,-1.65
2001-03-22,197.24,-0.9
2001-03-23,200.82,1.82
2001-03-26,205.34,2.25
2001-03-27,208.1,1.34
2001-03-28,206.18,-0.92
2001-03-29,205.65,-0.26
2001-03-30,207.11,0.71
2001-04-02,205.4,-0.83
2001-04-03,197.85,-3.68
2001-04-04,196.41,-0.73
2001-04-05,202.81,3.26
2001-04-06,200.72,-1.03
2001-04-09,201.67,0.47
2001-04-10,206.76,2.52
2001-04-11,208.81,0.99
2001-04-12,209.77,0.46
2001-04-13,209.77,0.0
2001-04-16,209.77,0.0
2001-04-17,212.03,1.08
2001-04-18,218.23,2.92
2001-04-19,218.85,0.28
2001-04-20,214.6,-1.94
2001-04-23,212.21,-1.11
2001-04-24,211.31,-0.42
2001-04-25,213.52,1.05
2001-04-26,215.08,0.73
2001-04-27,218.45,1.57
2001-04-30,224.12,2.6
2001-05-01,224.12,0.0
2001-05-02,224.55,0.19
2001-05-03,221.19,-1.5
2001-05-04,222.41,0.55
2001-05-07,223.79,0.62
2001-05-08,224.17,0.17
2001-05-09,223.58,-0.26
2001-05-10,225.69,0.94
2001-05-11,224.86,-0.37
2001-05-14,223.8,-0.47
2001-05-15,225.14,0.6
2001-05-16,226.77,0.72
2001-05-17,230.47,1.63
2001-05-18,232.07,0.69
2001-05-21,233.48,0.61
2001-05-22,235.27,0.77
2001-05-23,235.39,0.05
2001-05-25,234.51,-0.37
2001-05-28,234.12,-0.17
2001-05-29,233.36,-0.32
2001-05-30,228.96,-1.89
2001-05-31,230.9,0.85
2001-06-01,232.09,0.52
2001-06-05,235.03,1.27
2001-06-06,232.42,-1.11
2001-06-07,233.9,0.64
2001-06-08,232.29,-0.69
2001-06-11,231.07,-0.53
2001-06-12,227.64,-1.48
2001-06-13,226.0,-0.72
2001-06-14,223.67,-1.03
2001-06-15,220.0,-1.64
2001-06-18,218.65,-0.61
2001-06-19,219.63,0.45
2001-06-20,222.41,1.27
2001-06-21,224.23,0.82
2001-06-22,222.66,-0.7
2001-06-25,220.94,-0.77
2001-06-26,218.59,-1.06
2001-06-27,218.26,-0.15
2001-06-28,222.27,1.84
2001-06-29,224.33,0.93
2001-07-02,226.86,1.13
2001-07-03,225.16,-0.75
2001-07-04,224.65,-0.23
2001-07-05,222.98,-0.74
2001-07-06,218.54,-1.99
2001-07-09,218.83,0.13
2001-07-10,215.06,-1.72
2001-07-11,212.89,-1.01
2001-07-12,217.88,2.34
2001-07-13,218.89,0.46
2001-07-16,216.55,-1.07
2001-07-17,217.82,0.59
2001-07-18,213.45,-2.01
2001-07-19,213.68,0.11
2001-07-20,211.11,-1.2
2001-07-23,210.6,-0.24
2001-07-24,207.39,-1.52
2001-07-25,207.53,0.07
2001-07-26,209.28,0.84
2001-07-27,210.5,0.58
2001-07-30,210.93,0.2
2001-07-31,212.8,0.89
2001-08-01,212.78,-0.01
2001-08-02,212.69,-0.04
2001-08-03,210.19,-1.18
2001-08-06,209.63,-0.27
2001-08-07,210.97,0.64
2001-08-08,207.86,-1.47
2001-08-09,204.92,-1.41
2001-08-10,204.11,-0.4
2001-08-13,203.01,-0.54
2001-08-14,202.09,-0.45
2001-08-16,200.25,-0.91
2001-08-17,196.79,-1.73
2001-08-20,197.66,0.44
2001-08-21,197.58,-0.04
2001-08-22,197.24,-0.17
2001-08-23,197.58,0.17
2001-08-24,199.73,1.09
2001-08-27,199.92,0.1
2001-08-28,198.34,-0.79
2001-08-29,196.55,-0.9
2001-08-30,192.99,-1.81
2001-08-31,192.25,-0.38
2001-09-03,192.12,-0.07
2001-09-04,195.07,1.54
2001-09-05,195.53,0.24
2001-09-06,192.38,-1.61
2001-09-07,186.71,-2.95
2001-09-10,186.17,-0.29
2001-09-17,176.07,-5.43
2001-09-18,175.85,-0.12
2001-09-19,173.06,-1.59
2001-09-20,167.81,-3.03
2001-09-21,165.48,-1.39
2001-09-24,170.67,3.14
2001-09-25,172.96,1.34
2001-09-26,173.72,0.44
2001-09-27,176.13,1.39
2001-09-28,180.22,2.32
2001-10-01,177.87,-1.3
